,2021,2022,2023,2024,2025,Média
Estratégia Híbrida,17.5615,30.3856,18.1719,17.9071,18.0950,20.4242
Hedge Dinâmico,19.3853,21.6564,14.7666,12.3349,12.1575,16.0601
Buy & Hold VALE3,34.4767,38.8587,26.5828,22.8467,23.2835,29.2097
Buy & Hold CSNA3,48.0233,54.8511,39.6478,38.2233,46.8919,45.5275
CDI,0.1067,0.0821,0.0344,0.0276,0.0515,0.0605
