,2021,2022,2023,2024,2025,CAGR
Estratégia Híbrida,5.5298,0.7516,13.7897,6.6376,11.4461,8.8243
Hedge Dinâmico,-17.4768,-4.8209,13.8202,-17.7303,11.4643,-5.6757
Buy & Hold WIN$,-17.4768,-4.8208,13.8201,-17.7302,11.4642,-5.6757
Buy & Hold DI1$,80.1760,23.4888,-22.4333,59.7493,-11.0283,22.9907
CDI,3.5273,12.2949,12.9327,10.7267,10.3724,11.4122
