,2021,2022,2023,2024,2025,CAGR
Estratégia Híbrida,2.4568,29.5844,-0.0006,-10.2202,19.6426,8.3833
Hedge Dinâmico,-5.1499,-3.2910,3.5699,1.3431,-6.6851,-2.0628
Buy & Hold SUZB3,-11.1677,-14.1365,15.8323,15.1323,-20.0481,-4.4196
Buy & Hold KLBN11,-6.5639,-16.2119,17.8753,24.6137,-18.6078,-2.1899
CDI,3.5822,12.2949,12.9327,10.7267,10.3724,11.3808
