,2021,2022,2023,2024,2025,Média
Estratégia Híbrida,11.6402,15.4288,15.1894,16.4969,13.0266,14.3564
Hedge Dinâmico,12.8959,12.6276,10.4560,16.0111,10.7850,12.5551
Buy & Hold SUZB3,30.6561,32.4997,25.3281,27.9475,20.8113,27.4486
Buy & Hold KLBN11,26.3887,28.5123,22.6091,19.2899,20.8391,23.5278
CDI,0.1074,0.0821,0.0344,0.0276,0.0515,0.0606
