,2021,2022,2023,2024,2025,CAGR
Estratégia Híbrida,1.0936,1.7604,4.6257,15.5050,11.5861,7.5151
Hedge Dinâmico,-17.6658,-5.1633,13.8500,-17.8206,11.3625,-5.8479
Buy & Hold WIN$,-17.4768,-4.8208,13.8201,-17.7302,11.4642,-5.6757
Buy & Hold DOL$,3.4633,-15.2935,-14.8239,20.2870,-18.4176,-5.8352
CDI,3.5273,12.2949,12.9327,10.7267,10.3724,11.4122
