,2021,2022,2023,2024,2025,Média
Estratégia Híbrida,20.1442,20.2230,15.5364,12.7757,14.6312,16.6621
Hedge Dinâmico,21.1039,22.9450,18.3757,13.9676,16.1644,18.5113
Buy & Hold WIN$,21.1039,22.9450,18.3757,13.9676,16.1644,18.5113
Buy & Hold DI1$,25.2305,19.4180,13.6297,15.7444,12.1800,17.2405
CDI,0.1067,0.0821,0.0344,0.0276,0.0515,0.0605
