,2021,2022,2023,2024,2025,CAGR
Estratégia Híbrida,14.1211,33.0591,-3.0699,-26.2153,18.1719,5.9522
Hedge Dinâmico,-5.2643,-3.3311,3.6069,1.4232,-6.7207,-2.0944
Buy & Hold SUZB3,-12.0059,-14.1365,15.8323,15.1323,-20.0481,-4.6418
Buy & Hold KLBN11,-7.9373,-16.2119,17.8753,24.6137,-18.6078,-2.5272
CDI,3.5273,12.2949,12.9327,10.7267,10.3724,11.4122
