,2021,2022,2023,2024,2025,Média
Estratégia Híbrida,11.9139,16.6921,14.9987,17.0748,13.3757,14.8111
Hedge Dinâmico,12.9472,12.5994,10.4084,15.9077,10.7166,12.5159
Buy & Hold SUZB3,30.9696,32.4997,25.3281,27.9475,20.8113,27.5112
Buy & Hold KLBN11,26.6769,28.5123,22.6091,19.2899,20.8391,23.5854
CDI,0.1067,0.0821,0.0344,0.0276,0.0515,0.0605
